service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date                                                                                                                                                                                                                                                                       
2025-10-092025-12-06001901,1,1,1,1,1,1,1,20251009,20251206                                                                                                                                                                                                                                                                                                    
2025-12-072025-12-07001901,1,1,1,1,1,1,1,20251207,20251207                                                                                                                                                                                                                                                                                                    
2025-12-092025-12-13001901,1,1,1,1,1,1,1,20251209,20251213                                                                                                                                                                                                                                                                                                    
2025-10-092025-12-06001902,1,1,1,1,1,1,1,20251009,20251206                                                                                                                                                                                                                                                                                                    
2025-12-072025-12-07001902,1,1,1,1,1,1,1,20251207,20251207                                                                                                                                                                                                                                                                                                    
2025-12-092025-12-13001902,1,1,1,1,1,1,1,20251209,20251213                                                                                                                                                                                                                                                                                                    
2025-10-092025-12-13001921,1,1,1,1,1,1,1,20251009,20251213                                                                                                                                                                                                                                                                                                    
2025-10-092025-12-13001922,1,1,1,1,1,1,1,20251009,20251213                                                                                                                                                                                                                                                                                                    
2025-10-092025-12-06001941,1,1,1,1,1,1,1,20251009,20251206                                                                                                                                                                                                                                                                                                    
2025-12-082025-12-13001941,1,1,1,1,1,1,1,20251208,20251213                                                                                                                                                                                                                                                                                                    
2025-10-092025-12-06001942,1,1,1,1,1,1,1,20251009,20251206                                                                                                                                                                                                                                                                                                    
2025-12-082025-12-13001942,1,1,1,1,1,1,1,20251208,20251213                                                                                                                                                                                                                                                                                                    
2025-10-092025-12-13002761,1,1,1,1,1,1,1,20251009,20251213                                                                                                                                                                                                                                                                                                    
2025-10-092025-12-13002762,1,1,1,1,1,1,1,20251009,20251213                                                                                                                                                                                                                                                                                                    
2025-10-092025-12-13002791,1,1,1,1,1,1,1,20251009,20251213                                                                                                                                                                                                                                                                                                    
2025-10-092025-12-13002792,1,1,1,1,1,1,1,20251009,20251213                                                                                                                                                                                                                                                                                                    
2025-10-092025-12-13002801,1,1,1,1,1,1,1,20251009,20251213                                                                                                                                                                                                                                                                                                    
2025-10-092025-12-13002811,1,1,1,1,1,1,1,20251009,20251213                                                                                                                                                                                                                                                                                                    
2025-10-092025-12-13002821,1,1,1,1,1,1,1,20251009,20251213                                                                                                                                                                                                                                                                                                    
2025-10-092025-12-13002831,1,1,1,1,1,1,1,20251009,20251213                                                                                                                                                                                                                                                                                                    
