route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible                                                                                                                                                                                                                                                
1700037606GL023,2025-10-092025-12-06001901,0019012025-10-09,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2025-12-072025-12-07001901,0019012025-12-07,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2025-12-092025-12-13001901,0019012025-12-09,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2025-10-092025-12-06001902,0019022025-10-09,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2025-12-072025-12-07001902,0019022025-12-07,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2025-12-092025-12-13001902,0019022025-12-09,,00190,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2025-10-092025-12-13001921,0019212025-10-09,,00192,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2025-10-092025-12-13001922,0019222025-10-09,,00192,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2025-10-092025-12-06001941,0019412025-10-09,,00194,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2025-12-082025-12-13001941,0019412025-12-08,,00194,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2025-10-092025-12-06001942,0019422025-10-09,,00194,,,,1                                                                                                                                                                                                                                                                                       
1700037606GL023,2025-12-082025-12-13001942,0019422025-12-08,,00194,,,,1                                                                                                                                                                                                                                                                                       
1700056312GL026,2025-10-092025-12-13002761,0027612025-10-09,,00276,,,,1                                                                                                                                                                                                                                                                                       
1700050300GL026,2025-10-092025-12-13002762,0027622025-10-09,,00276,,,,1                                                                                                                                                                                                                                                                                       
5631217000GL026,2025-10-092025-12-13002791,0027912025-10-09,,00279,,,,1                                                                                                                                                                                                                                                                                       
5030017000GL026,2025-10-092025-12-13002792,0027922025-10-09,,00279,,,,1                                                                                                                                                                                                                                                                                       
1120013200GL026,2025-10-092025-12-13002801,0028012025-10-09,,00280,,,,2                                                                                                                                                                                                                                                                                       
1151111208GL026,2025-10-092025-12-13002811,0028112025-10-09,,00281,,,,2                                                                                                                                                                                                                                                                                       
1120811511GL026,2025-10-092025-12-13002821,0028212025-10-09,,00282,,,,2                                                                                                                                                                                                                                                                                       
1320011200GL026,2025-10-092025-12-13002831,0028312025-10-09,,00283,,,,2                                                                                                                                                                                                                                                                                       
3760617000GL023,2025-10-092025-12-07002911,0029112025-10-09,,00291,,,,1                                                                                                                                                                                                                                                                                       
3760617000GL023,2025-12-092025-12-13002911,0029112025-12-09,,00291,,,,1                                                                                                                                                                                                                                                                                       
3760617000GL023,2025-10-092025-12-07002912,0029122025-10-09,,00291,,,,1                                                                                                                                                                                                                                                                                       
3760617000GL023,2025-12-092025-12-13002912,0029122025-12-09,,00291,,,,1                                                                                                                                                                                                                                                                                       
3760617000GL023,2025-10-092025-12-07002931,0029312025-10-09,,00293,,,,1                                                                                                                                                                                                                                                                                       
3760617000GL023,2025-12-092025-12-13002931,0029312025-12-09,,00293,,,,1                                                                                                                                                                                                                                                                                       
3760617000GL023,2025-10-092025-12-07002932,0029322025-10-09,,00293,,,,1                                                                                                                                                                                                                                                                                       
3760617000GL023,2025-12-092025-12-13002932,0029322025-12-09,,00293,,,,1                                                                                                                                                                                                                                                                                       
3760617000GL023,2025-10-092025-12-06002951,0029512025-10-09,,00295,,,,1                                                                                                                                                                                                                                                                                       
3760617000GL023,2025-12-082025-12-13002951,0029512025-12-08,,00295,,,,1                                                                                                                                                                                                                                                                                       
3760617000GL023,2025-10-092025-12-06002952,0029522025-10-09,,00295,,,,1                                                                                                                                                                                                                                                                                       
3760617000GL023,2025-12-082025-12-13002952,0029522025-12-08,,00295,,,,1                                                                                                                                                                                                                                                                                       
3760617000GL023,2025-10-092025-12-06002971,0029712025-10-09,,00297,,,,1                                                                                                                                                                                                                                                                                       
3760617000GL023,2025-12-072025-12-07002971,0029712025-12-07,,00297,,,,1                                                                                                                                                                                                                                                                                       
3760617000GL023,2025-12-082025-12-13002971,0029712025-12-08,,00297,,,,1                                                                                                                                                                                                                                                                                       
3760617000GL023,2025-10-092025-12-06002972,0029722025-10-09,,00297,,,,1                                                                                                                                                                                                                                                                                       
3760617000GL023,2025-12-072025-12-07002972,0029722025-12-07,,00297,,,,1                                                                                                                                                                                                                                                                                       
3760617000GL023,2025-12-082025-12-13002972,0029722025-12-08,,00297,,,,1                                                                                                                                                                                                                                                                                       
3760617000GL023,2025-10-092025-12-07002991,0029912025-10-09,,00299,,,,1                                                                                                                                                                                                                                                                                       
3760617000GL023,2025-12-082025-12-08002991,0029912025-12-08,,00299,,,,1                                                                                                                                                                                                                                                                                       
3760617000GL023,2025-12-092025-12-13002991,0029912025-12-09,,00299,,,,1                                                                                                                                                                                                                                                                                       
3760617000GL023,2025-10-092025-12-07002992,0029922025-10-09,,00299,,,,1                                                                                                                                                                                                                                                                                       
3760617000GL023,2025-12-082025-12-08002992,0029922025-12-08,,00299,,,,1                                                                                                                                                                                                                                                                                       
3760617000GL023,2025-12-092025-12-13002992,0029922025-12-09,,00299,,,,1                                                                                                                                                                                                                                                                                       
2230894346GL026,2025-10-092025-12-13004201,0042012025-10-09,,00420,,,,2                                                                                                                                                                                                                                                                                       
9434622308GL026,2025-10-092025-12-13004211,0042112025-10-09,,00421,,,,2                                                                                                                                                                                                                                                                                       
2230894346GL026,2025-10-092025-12-13004221,0042212025-10-09,,00422,,,,2                                                                                                                                                                                                                                                                                       
9434622308GL026,2025-10-092025-12-13004231,0042312025-10-09,,00423,,,,2                                                                                                                                                                                                                                                                                       
1320071801GL023,2025-10-092025-12-13004371,0043712025-10-09,,00437,,,,1                                                                                                                                                                                                                                                                                       
0404071801GL023,2025-10-092025-12-13004372,0043722025-10-09,,00437,,,,1                                                                                                                                                                                                                                                                                       
1320011200GL023,2025-10-092025-12-13004373,0043732025-10-09,,00437,,,,1                                                                                                                                                                                                                                                                                       
7180113200GL023,2025-10-092025-12-13004381,0043812025-10-09,,00438,,,,1                                                                                                                                                                                                                                                                                       
7180104040GL023,2025-10-092025-12-13004382,0043822025-10-09,,00438,,,,1                                                                                                                                                                                                                                                                                       
1120013200GL023,2025-10-092025-12-13004383,0043832025-10-09,,00438,,,,1                                                                                                                                                                                                                                                                                       
6500071801GL026,2025-10-092025-10-24004601,0046012025-10-09,,00460,,,,1                                                                                                                                                                                                                                                                                       
6500071801GL026,2025-10-262025-11-07004601,0046012025-10-26,,00460,,,,1                                                                                                                                                                                                                                                                                       
6500071801GL026,2025-11-092025-11-28004601,0046012025-11-09,,00460,,,,1                                                                                                                                                                                                                                                                                       
6500071801GL026,2025-11-302025-12-12004601,0046012025-11-30,,00460,,,,1                                                                                                                                                                                                                                                                                       
7180165000GL026,2025-10-092025-10-24004631,0046312025-10-09,,00463,,,,1                                                                                                                                                                                                                                                                                       
7180165000GL026,2025-10-262025-11-07004631,0046312025-10-26,,00463,,,,1                                                                                                                                                                                                                                                                                       
7180165000GL026,2025-11-092025-11-28004631,0046312025-11-09,,00463,,,,1                                                                                                                                                                                                                                                                                       
7180165000GL026,2025-11-302025-12-12004631,0046312025-11-30,,00463,,,,1                                                                                                                                                                                                                                                                                       
7180111511GL023,2025-10-092025-12-13005301,0053012025-10-09,,00530,,,,1                                                                                                                                                                                                                                                                                       
7180111511GL023,2025-10-092025-12-13005302,0053022025-10-09,,00530,,,,1                                                                                                                                                                                                                                                                                       
1151171801GL023,2025-10-092025-12-13005331,0053312025-10-09,,00533,,,,1                                                                                                                                                                                                                                                                                       
1151178400GL023,2025-10-092025-12-13005332,0053322025-10-09,,00533,,,,1                                                                                                                                                                                                                                                                                       
2030922100GL026,2025-10-092025-10-26005581,0055812025-10-09,,00558,,,,1                                                                                                                                                                                                                                                                                       
2210020309GL026,2025-10-092025-10-26005601,0056012025-10-09,,00560,,,,1                                                                                                                                                                                                                                                                                       
7180180100GL026,2025-10-092025-12-13005621,0056212025-10-09,,00562,,,,1                                                                                                                                                                                                                                                                                       
8010071801GL026,2025-10-092025-12-06005631,0056312025-10-09,,00563,,,,1                                                                                                                                                                                                                                                                                       
8010071801GL026,2025-12-082025-12-13005631,0056312025-12-08,,00563,,,,1                                                                                                                                                                                                                                                                                       
8010060000GL023,2025-10-092025-12-13006001,0060012025-10-09,,00600,,,,1                                                                                                                                                                                                                                                                                       
6000080100GL023,2025-10-092025-12-07006011,0060112025-10-09,,00601,,,,1                                                                                                                                                                                                                                                                                       
6000080100GL023,2025-12-092025-12-13006011,0060112025-12-09,,00601,,,,1                                                                                                                                                                                                                                                                                       
8010060000GL023,2025-10-092025-12-13006021,0060212025-10-09,,00602,,,,1                                                                                                                                                                                                                                                                                       
